Species,PBG20,PBG40,SLG
AMBI,0,0,2
AMWI,6,4,13
GADW,39,28,55
BOBO,1,1,6
BRBL,49,70,3
BWTE,164,91,128
CAGO,0,0,3
CCLO,36,33,3
CCSP,70,102,121
CONI,14,6,0
EAKI,0,0,2
GRSP,31,22,18
GWTE,1,0,0
HOLA,2,3,0
KILL,10,3,0
LESC,0,2,4
MAGO,3,3,0
MALL,34,19,20
MODO,34,15,39
NOPI,52,51,37
NSHO,27,33,20
WIPH,5,3,0
RWBL,15,15,10
SAVS,13,18,14
STGR,3,6,3
UPSA,10,4,5
WEME,100,93,82
WILL,7,6,1
WISN,14,9,5
YHBL,1,0,0
