Year,Spec,X,Y,FirstFound,AgeFound,Exposure,Fate,InitBHCO,Clutch,InitClutch
2023,RWBL,464257,5176415,6/7/2023,10,6,Failed,2,4,4
2023,CCSP,464505,5176250,6/6/2023,12,10,Survive,1,3,3
2023,BWTE,464164,5176422,6/7/2023,15,9,Survive,0,10,10
2023,CCSP,464492,5176454,6/7/2023,10,9,Failed,0,4,4
2023,BWTE,464530,5177223,6/10/2023,17,6,Survive,0,10,10
2023,BWTE,465264,5176601,6/14/2023,13,4,Failed,0,8,8
2023,RWBL,464869,5177166,6/30/2023,3,3,Failed,0,2,2
2023,CCSP,464664,5176813,7/12/2023,11,10,Failed,1,1,1
2023,CCSP,464252,5177031,7/12/2023,13,10,Survive,1,3,3
2023,BWTE,464490,5176986,6/10/2023,15,9,Failed,0,9,9
2023,BWTE,465435,5175831,5/29/2023,2,22,Survive,0,10,10
2023,BWTE,465035,5177170,6/13/2023,15,7,Survive,0,12,12
2023,NSHO,465138,5176938,6/22/2023,-5,29,Survive,0,11,6
2023,GADW,464455,5176961,6/10/2023,15,9,Failed,0,11,11
2023,CCSP,464933,5176630,6/12/2023,11,7,Failed,1,3,4
2023,EAKI,464953,5175804,6/21/2023,2,9,Failed,0,4,4
2023,RWBL,465650,5176978,5/23/2023,-9,13,Failed,0,4,0
2023,RWBL,465479,5176860,5/28/2023,-1,3,Failed,1,2,2
2023,RWBL,464879,5176135,6/21/2023,0,26,Survive,0,4,4
2023,CCSP,464443,5176477,6/27/2023,4,9,Failed,2,1,1
2023,CCSP,465046,5175972,6/21/2023,-2,8,Failed,0,4,2
2023,WEME,465314,5177025,6/27/2023,8,5,Failed,0,2,4
2023,CCSP,465252,5176180,6/19/2023,-3,1,Failed,0,1,1
2023,BWTE,465527,5177132,5/23/2023,10,13,Failed,0,8,8
2023,CCSP,464247,5176697,6/7/2023,9,3,Failed,1,4,4
2023,CCSP,465288,5176187,6/19/2023,unk,1,Failed,5,1,1
2023,MODO,464389,5176194,6/26/2023,6,2,Failed,0,2,2
2023,RWBL,464881,5176125,7/8/2023,16,9,Survive,0,4,4
2023,CCSP,465223,5175720,7/3/2023,4,5,Failed,1,2,2
2023,MALL,464211,5176166,7/11/2023,19,3,Failed,0,7,7
2023,NOPI,465236,5176968,6/27/2023,1,16,Failed,0,5,5
2023,AMBI,464826,5177096,6/12/2023,-2,35,Survive,0,5,4
2023,BWTE,465639,5176387,5/24/2023,7,7,Failed,0,10,10
2023,MALL,465680,5176464,5/24/2023,20,7,Survive,0,10,10
2023,MALL,465154,5176900,5/22/2023,20,6,Failed,0,6,6
2023,WILL,464907,5176289,5/21/2023,2,1,Failed,0,4,4
2023,CCSP,464648,5176341,6/6/2023,3,10,Failed,1,4,4
2023,RWBL,465470,5176863,5/28/2023,-3,3,Failed,0,1,1
2023,CCSP,464515,5176050,6/25/2023,15,3,Failed,0,4,4
2023,RWBL,464842,5176417,6/22/2023,15,3,Failed,6,1,1
2023,GADW,465386,5176373,6/16/2023,13,13,Survive,0,11,11
2023,MALL,465039,5175903,5/30/2023,13,5,Failed,0,8,8
2023,GADW,465252,5176776,6/14/2023,12,15,Survive,0,10,10
2023,CCSP,465117,5175737,5/30/2023,11,11,Survive,0,4,4
2023,NOPI,465209,5176325,6/16/2023,12,13,Survive,0,4,4
2023,CCSP,465160,5175949,6/15/2023,5,3,Failed,0,4,4
2023,MODO,464246,5178766,6/28/2023,12,5,Survive,0,1,2
2023,GADW,464476,5176584,6/7/2023,-1,12,Failed,0,6,5
2023,CCSP,464249,5176677,6/27/2023,16,6,Survive,0,1,4
2023,NOPI,464382,5176936,6/19/2023,11,6,Failed,0,8,8
2023,BWTE,465513,5176094,6/19/2023,16,10,Survive,0,9,9
2023,CCSP,464414,5176240,6/26/2023,7,16,Survive,1,1,3
2023,WISN,465164,5176853,5/22/2023,14,6,Failed,0,4,4
2023,GWTE,464405,5176383,6/27/2023,9,15,Survive,0,7,7
2023,CCSP,464462,5176420,7/11/2023,14,3,Failed,0,2,2
2023,CCSP,464622,5176393,6/26/2023,7,16,Survive,0,2,4
2023,MODO,464294,5176227,6/26/2023,4,4,Failed,0,2,2
2023,BWTE,465472,5177175,6/14/2023,9,15,Failed,0,9,9
2023,GADW,465222,5177209,6/13/2023,4,5,Failed,0,9,9
2023,SORA,465168,5176947,6/13/2023,-2,10,Failed,0,8,6
2023,YHBL,464658,5176628,6/9/2023,-4,24,Survive,0,2,0
2023,CCSP,464681,5175668,6/23/2023,2,5,Failed,2,2,4
2023,NOPI,465367,5175700,6/20/2023,7,18,Survive,0,8,8
2023,CCLO,464771,5176023,6/23/2023,9,16,Survive,0,3,4
2023,CCSP,464334,5175952,6/26/2023,8,10,Failed,0,4,4
2023,AMCO,464741,5176581,6/9/2023,13,10,Survive,0,10,13
2023,MALL,464301,5176270,6/6/2023,-3,7,Failed,0,5,1
2023,BRBL,464462,5176491,7/13/2023,14,12,Survive,0,2,3
2023,CCSP,465513,5176333,7/7/2023,7,18,Survive,0,3,3
2023,BRBL,464964,5177186,7/13/2023,11,4,Failed,0,2,2
2023,CCSP,465378,5176362,7/7/2023,7,18,Survive,1,2,3
2023,RWBL,465552,5176911,5/28/2023,-4,26,Survive,0,1,0
2023,BWTE,464534,5175987,5/24/2023,-3,5,Failed,0,7,4
2023,CCSP,465530,5176081,6/19/2023,3,10,Failed,1,4,3
2023,CCSP,464418,5176200,6/26/2023,8,13,Survive,0,2,4
