simpson,Treat,Paddock,Year
0.6390532544378698,Heavy,1,2021
0.7069387755102041,Full,2,2021
0.7868480725623583,Moderate,3,2021
0.72,Rest,4,2021
0.36111111111111116,Heavy,5,2021
0.6352040816326531,Full,6,2021
0.7361111111111112,Moderate,7,2021
0.6112,Rest,8,2021
0.3413111342351718,Full,9,2021
0.5013774104683195,Moderate,10,2021
0.6484375,Rest,11,2021
0.5537190082644629,Heavy,12,2021
0.7189349112426036,Full,13,2021
0.6781677572873289,Moderate,14,2021
0.532871972318339,Rest,15,2021
0.6122448979591837,Heavy,16,2021
