"","cTreat","BHCOpres","Abundance"
"1","Full","unparasitized",173
"2","Full","parasitized",84
"3","Heavy","unparasitized",86
"4","Heavy","parasitized",59
"5","Moderate","unparasitized",188
"6","Moderate","parasitized",109
"7","Rest","unparasitized",104
"8","Rest","parasitized",60
