Year,id,Spec,FirstFound,LastPresent,LastChecked,Fate,Freq,Expos,AgeFound,AgeDay1,Stage,Nestling,InitBHCO,BHCONum,BHCOPres,InitClutch,Clutch,Open,KBG,SmoothB,Litter,Bare,Forb,Grasslike,Woody,LitterD,Veg.Height,VOR,Paddock,Replicate,cTreat,pTreat,cDoD,pDoD,grazed,grazep,start,end
2021,BRBL04649085176549,BRBL,14,39,39,0,1,25,0,-13,Nestling,1,3,5,1,2,2,NA,12.605042016806722,31.932773109243694,2.5210084033613445,0,52.94117647058824,0,0,39,710,5.75,15,NW,0,39,0,33.7,0,0,NA,NA
2021,BRBL04649165176377,BRBL,8,23,26,1,1,18,2,-5,Nestling,1,0,0,0,5,5,NA,0,0,12.931034482758621,0,32.758620689655174,54.310344827586206,0,80,695,9,10,SW,39,49,51.7,60.2,0,0,194,215
2021,BRBL04649255176381,BRBL,25,32,32,0,1,7,14,-10,Nestling,1,0,0,0,3,3,NA,0,0,3.296703296703297,0,93.4065934065934,3.296703296703297,0,10,860,7.5,10,SW,39,49,51.7,60.2,0,0,194,215
2021,BRBL04649695176391,BRBL,25,34,34,0,1,9,5,-19,Nestling,1,0,0,0,4,4,NA,2.912621359223301,0,0,0,82.52427184466019,14.563106796116504,0,40,970,11.25,7,SE,39,49,51.7,60.2,0,0,194,215
2021,BRBL04650085175990,BRBL,46,53,56,1,1,10,5,-40,Incubating,0,3,3,1,2,2,NA,35.84905660377358,0,0,0,35.84905660377358,14.150943396226415,14.150943396226415,17,730,6,8,SE,0,39,0,33.7,0,0,NA,NA
2021,BRBL04650595176128,BRBL,22,38,38,0,1,16,9,-12,Nestling,1,3,1,1,4,4,NA,15.306122448979592,15.306122448979592,15.306122448979592,0,38.775510204081634,0,15.306122448979592,16,640,6,8,SE,0,39,0,33.7,0,0,NA,NA
2021,BRBL04650995176424,BRBL,18,21,25,1,1,8,11,-6,Nestling,1,2,2,1,5,5,NA,31.147540983606557,2.459016393442623,12.295081967213115,0,51.63934426229508,2.459016393442623,0,35,648,4.25,4,NE,0,39,0,33.7,0,0,NA,NA
2021,BRBL04651355176118,BRBL,30,34,37,1,1,7,2,-27,Incubating,0,1,1,1,1,1,NA,20,20,20,0,20,0,20,22,545,3.75,7,SE,39,49,51.7,60.2,0,0,194,215
2021,BRBL04651905176206,BRBL,20,31,31,0,1,11,8,-11,Nestling,1,2,1,1,2,2,NA,12.711864406779661,0,12.711864406779661,2.5423728813559325,72.03389830508475,0,0,19,638,4.25,6,SE,49,68,52.3,60.6,3,1,172,194
2021,BRBL04652225176132,BRBL,25,25,28,1,1,3,20,-4,Nestling,1,0,1,1,2,2,NA,31.147540983606557,0,51.63934426229508,0,2.459016393442623,12.295081967213115,2.459016393442623,26,570,2.75,7,SE,39,49,51.7,60.2,0,0,194,215
2021,BRBL04652525177166,BRBL,1,4,8,1,1,7,2,2,Incubating,0,4,6,1,3,3,NA,0,41.75824175824176,16.483516483516482,0,41.75824175824176,0,0,10,200,1,1,NE,68,0,76.3,0,8,1,144,172
2021,BRBL04652635176081,BRBL,5,28,31,1,1,26,1,-3,Nestling,1,0,2,1,2,1,NA,58.333333333333336,0,13.88888888888889,0,13.88888888888889,0,13.88888888888889,73,528,4,7,SE,39,49,51.7,60.2,0,0,194,215
2021,BRBL04652945176098,BRBL,7,17,20,1,1,12,8,2,Nestling,1,0,1,1,2,2,NA,80.18867924528303,0,14.150943396226415,0,2.8301886792452833,0,2.8301886792452833,85,521,3.75,6,SE,49,68,52.3,60.6,0,0,172,194
2021,BRBL04653355176132,BRBL,19,19,22,1,1,3,2,-16,Incubating,0,5,3,1,1,1,NA,34.862385321100916,13.761467889908257,34.862385321100916,0,2.7522935779816518,0,13.761467889908257,37,760,2.75,6,SE,49,68,52.3,60.6,0,0,172,194
2021,BRBL04654165177219,BRBL,17,17,20,1,1,3,16,0,Nestling,1,1,1,1,1,1,NA,0,0,12.396694214876034,0,31.40495867768595,56.19834710743802,0,2,420,5,2,NE,49,68,52.3,60.6,0,0,172,194
2021,BRBL04654335176134,BRBL,4,19,19,0,1,15,7,4,Nestling,1,3,2,1,4,2,NA,51.63934426229508,0,12.295081967213115,0,2.459016393442623,2.459016393442623,31.147540983606557,58,624,5,6,SE,49,68,52.3,60.6,0,0,172,194
2021,BRBL04656085176601,BRBL,28,37,40,1,1,12,3,-24,Nestling,1,0,0,0,5,5,NA,18.072289156626507,0,18.072289156626507,0,18.072289156626507,0,45.78313253012048,13,568,4.25,4,NE,0,39,0,33.7,0,0,NA,NA
2021,BRBL04656795176835,BRBL,32,35,37,1,1,5,17,-14,Nestling,1,1,0,0,4,1,NA,41.75824175824176,41.75824175824176,0,0,0,0,16.483516483516482,40,909,5.75,3,NE,39,49,51.7,60.2,0,0,194,215
2021,BRBL04657235176188,BRBL,32,32,34,1,1,2,3,-28,Incubating,0,3,3,1,4,4,NA,13.88888888888889,0,58.333333333333336,0,13.88888888888889,0,13.88888888888889,15,515,2.5,5,SE,68,0,76.3,0,1,1,144,172
2022,BRBL04649095176372,BRBL,9,33,33,0,1,24,-3,-11,Nestling,1,0,4,1,1,4,NA,0,82.52427184466019,2.912621359223301,0,14.563106796116504,0,0,10,1140,7.25,10,SW,49,68,45.3,76.3,0,0,179,202
2022,BRBL04649535175804,BRBL,55,64,64,0,1,9,17,-37,Nestling,1,2,0,0,4,4,NA,15.625,0,15.625,0,3.125,0,65.625,70,930,6.5,8,SE,39,49,35.2,52.3,6,1,202,213
2022,BRBL04649565176434,BRBL,38,53,56,1,1,18,2,-35,Nestling,1,0,2,1,1,3,NA,17.117117117117118,17.117117117117118,6.756756756756757,6.756756756756757,17.117117117117118,6.756756756756757,28.37837837837838,34,1191,12,15,NW,39,49,35.2,52.3,0,0,202,213
2022,BRBL04649785176430,BRBL,25,49,49,0,1,24,2,-22,Nestling,1,1,1,1,4,4,NA,0,0,0,0,85,15,0,0,1710,15,4,NE,39,49,35.2,52.3,0,0,202,213
2022,BRBL04655705176108,BRBL,52,79,79,0,1,27,-2,-53,Nestling,1,1,1,1,1,3,NA,14.563106796116504,0,2.912621359223301,0,82.52427184466019,0,0,40,990,15.25,5,SE,0,39,0,51.7,0,0,NA,NA
2023,BRBL04644625176491,BRBL,51,63,63,0,1,12,14,-36,Nestling,1,0,0,0,3,2,NA,0,0,11.538461538461538,0,11.538461538461538,11.538461538461538,65.38461538461539,11,1034,13,16,NW,39,49,NA,45.3,6,1,201,212
2023,BRBL04649645177186,BRBL,51,52,55,1,1,4,11,-39,Incubating,0,0,0,0,2,2,NA,15.306122448979592,15.306122448979592,15.306122448979592,0,15.306122448979592,0,38.775510204081634,36,595,6.5,16,NW,39,49,NA,45.3,0,0,201,212
2023,BRBL04649735176421,BRBL,24,46,46,0,1,22,5,-18,Nestling,1,2,2,1,5,5,NA,0,21.59090909090909,21.59090909090909,0,8.522727272727272,0,48.29545454545455,87,1270,11,5,SE,39,49,NA,45.3,0,0,201,212
2023,BRBL04649825175988,BRBL,35,43,46,1,1,11,-2,-36,Incubating,0,0,2,1,1,3,NA,23.89937106918239,9.433962264150944,23.89937106918239,0,9.433962264150944,9.433962264150944,23.89937106918239,15,810,7.5,8,SE,49,68,NA,65.3,10,1,178,201
2023,BRBL04650025176441,BRBL,23,31,34,1,1,11,10,-12,Nestling,1,1,1,1,4,4,NA,8.928571428571429,8.928571428571429,8.928571428571429,0,0,22.61904761904762,50.595238095238095,22,1135,7.25,3,NE,68,0,NA,0,22,1,143,178
2023,BRBL04650965177220,BRBL,15,17,20,1,1,5,7,-7,Incubating,0,2,2,1,1,1,NA,7.281553398058252,41.262135922330096,18.446601941747574,18.446601941747574,7.281553398058252,0,7.281553398058252,0,660,6.5,1,NE,39,49,NA,45.3,0,0,201,212
2023,BRBL04655905176097,BRBL,27,46,46,0,1,19,7,-19,Nestling,1,0,0,0,4,4,NA,29.00763358778626,0,11.450381679389313,0,48.091603053435115,0,11.450381679389313,31,1058,8,5,SE,39,49,NA,45.3,0,0,201,212
2023,BRBL04656705176033,BRBL,2,23,23,0,1,21,4,3,Nestling,1,1,2,1,3,2,NA,2.7522935779816518,0,13.761467889908257,34.862385321100916,34.862385321100916,13.761467889908257,0,0,636,2,6,SE,0,39,0,35.2,0,0,NA,NA
