"","Grazing Intensity","2021 Diversity","2022 Diversity"
"1","Full",0.654208,0.834481175390266
"2","Heavy",0.528546712802768,0.78900320458762
"3","Moderate",0.747443504608004,0.839347503707365
"4","Rest",0.622589531680441,0.879425239483549
