"","Grazing Intensity","Total Richness 2021","Total Richness 2022","Total Richness 2023","OBL Richness 2021","OBL Richness 2022","OBL Richness 2023","FAC Richness 2021","FAC Richness 2022","FAC Richness 2023","WET Richness 2021","WET Richness 2022","WET Richness 2023"
"1","Full",18,19,19,5,6,3,11,8,11,2,5,5
"2","Heavy",10,14,21,1,5,4,9,8,11,NA,1,6
"3","Moderate",19,18,15,6,6,3,12,9,9,1,3,3
"4","Rest",12,16,17,5,4,2,7,12,13,NA,NA,2
