Richness,Treat,Year,Paddock
5,Heavy,2021,1
11,Full,2021,2
10,Moderate,2021,3
4,Rest,2021,4
5,Heavy,2021,5
8,Full,2021,6
11,Moderate,2021,7
7,Rest,2021,8
6,Full,2021,9
9,Moderate,2021,10
7,Rest,2021,11
6,Heavy,2021,12
9,Full,2021,13
10,Moderate,2021,14
4,Rest,2021,15
4,Heavy,2021,16
